,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
157,Northampton,2019,75,0.9333333333333333,0.8533333333333334,0.0033222591362126247,1.0389668989714045,0.10943281855625961
158,Northampton,2020,78,0.8717948717948718,0.7948717948717948,0.0016638935108153079,0.9355760486465933,0.09304484714416954
159,Northampton,2021,70,0.8285714285714286,0.8285714285714286,0.0016638935108153079,0.6771354867247589,0.06575364455663986
160,Adams,2018,23,0.782608695652174,0.8260869565217391,0.0014265335235378032,1.0549182490467204,0.14798174325000962
161,Adams,2019,30,0.6333333333333333,0.9333333333333333,0.002849002849002849,0.9487406116396411,0.11669770442552864
162,Adams,2020,37,0.7567567567567568,0.8378378378378378,0.0033222591362126247,0.877582424989408,0.09982801876815084
163,Adams,2021,39,0.8205128205128205,0.8461538461538461,0.004479840716774514,0.6574212430737973,0.06841161393731464
164,Cambria,2018,98,0.6428571428571429,0.3163265306122449,0.0,1.9292703338527932,0.2686708822824263
165,Cambria,2019,117,0.7094017094017094,0.4017094017094017,0.0,1.6488079896907217,0.19324397626468473
166,Cambria,2020,158,0.7151898734177216,0.879746835443038,0.0033222591362126247,1.3900774694317908,0.1535678552599047
167,Cambria,2021,110,0.6272727272727273,0.7727272727272727,0.0014265335235378032,0.9565850397311796,0.1008702264633781
168,Schuylkill,2018,35,0.5714285714285714,0.6,0.00093603744149766,1.5390664737257864,0.1938528056819691
169,Schuylkill,2019,38,0.7105263157894737,0.7368421052631579,0.004791743457427202,1.3051462785479102,0.13874364728170066
170,Schuylkill,2020,46,0.6521739130434783,0.7608695652173914,0.005154639175257732,1.177067997679117,0.11651318487937701
171,Schuylkill,2021,51,0.6274509803921569,0.6666666666666666,0.004267425320056899,0.8390243741025802,0.08064490424421003
172,Clearfield,2018,10,0.9,0.9,0.002849002849002849,1.8896873215659988,0.20110411856706636
173,Clearfield,2019,2,1.0,1.0,0.004975124378109453,1.7424517762716913,0.14834338770139768
174,Clearfield,2020,18,0.6111111111111112,0.6666666666666666,0.0035149384885764497,1.6250983093766291,0.12525124055522455
175,Clearfield,2021,32,0.6875,0.6875,0.0023741690408357074,1.1942107256522927,0.08489437704745413
176,Tioga,2018,23,0.4782608695652174,0.6956521739130435,0.0,1.4179561456937508,0.18006724326958215
177,Tioga,2019,22,0.7727272727272727,0.7272727272727273,0.0,1.1856279693019856,0.13588305518333535
178,Tioga,2020,18,0.3333333333333333,0.7222222222222222,,1.1142078206846144,0.1232230541946644
179,Tioga,2021,24,0.5833333333333334,0.7083333333333334,0.0,0.8346922772323059,0.08945734315989767
180,Columbia,2018,13,0.6923076923076923,0.6153846153846154,0.0,1.5748835879926462,0.15816691643363667
181,Columbia,2019,9,1.0,0.7777777777777778,0.0024937655860349127,1.3503917994036492,0.11910485577888671
182,Columbia,2020,34,0.6470588235294118,0.7941176470588235,0.004975124378109453,1.1799233704636396,0.10161675912849352
183,Columbia,2021,12,0.5833333333333334,0.5833333333333334,0.01639344262295082,0.8341743711279682,0.0705262510341434
184,Potter,2020,2,1.0,1.0,,1.7051543059282752,0.14997402925750183
185,Potter,2021,3,0.3333333333333333,0.3333333333333333,0.0,1.2662881427787265,0.11786709887576238
186,Fulton,2018,2,0.0,0.5,0.00398406374501992,1.932633965375103,0.20555303654850235
187,Fulton,2019,6,0.5,1.0,0.0,1.6732666941467436,0.1565677383896675
188,Fulton,2020,11,0.5454545454545454,0.7272727272727273,0.0,1.4577734267655948,0.11980634347300081
189,Fulton,2021,13,0.38461538461538464,0.6923076923076923,0.0,1.1194564429101401,0.09614892159157735
190,Wyoming,2018,17,0.5882352941176471,0.5882352941176471,0.0,1.9204936898231615,0.28908627104990603
191,Wyoming,2019,8,0.5,0.625,0.0,1.6178975027810811,0.21559975449767924
192,Wyoming,2020,6,0.6666666666666666,0.8333333333333334,0.0033222591362126247,1.4801488357819632,0.17267212002301582
193,Wyoming,2021,9,0.5555555555555556,0.8888888888888888,0.0,1.0547371092868925,0.11894303515355403
194,Butler,2018,37,0.7297297297297297,0.7297297297297297,0.0,1.4976669436373302,0.16272017877510153
195,Butler,2019,51,0.8235294117647058,0.8627450980392157,0.00028563267637817766,1.438682204548856,0.13501076056832315
196,Butler,2020,54,0.7777777777777778,0.7037037037037037,0.004469727752945957,1.3185320210772955,0.12122605600770013
197,Butler,2021,44,0.7954545454545454,0.6818181818181818,0.0027460615695909813,0.9089267559441173,0.08461175063775334
198,Somerset,2018,21,0.42857142857142855,0.6666666666666666,0.0014265335235378032,1.505640977215395,0.19863831968595289
199,Somerset,2019,18,0.6111111111111112,0.6666666666666666,0.00039984006397441024,1.2935724210497914,0.14840696623453709
200,Somerset,2020,26,0.5769230769230769,0.5384615384615384,0.0,1.097896504741734,0.1208349810116149
201,Somerset,2021,27,0.4074074074074074,0.4444444444444444,0.0019193857965451055,0.7789946180064482,0.08354581636980128
202,Fayette,2018,34,0.6176470588235294,0.7058823529411765,0.00020815986677768527,2.119898372721344,0.26581286295456663
203,Fayette,2019,30,0.6666666666666666,0.7,0.0009081002542680712,1.8915607434551722,0.1924949535728704
204,Fayette,2020,50,0.62,0.76,0.0014391077531930203,1.7054717244806064,0.14851608367325547
205,Fayette,2021,46,0.6304347826086957,0.7391304347826086,0.0019721508396581605,1.2077293925033386,0.09857325519405453
206,Indiana,2018,23,0.5652173913043478,0.5217391304347826,0.0007686395080707148,1.7205285539245128,0.1678451817504745
207,Indiana,2019,32,0.6875,0.6875,0.0012484394506866417,1.457129832064003,0.12788013838502751
208,Indiana,2020,36,0.6111111111111112,0.7222222222222222,0.003054662379421222,1.237214640943709,0.1043989230170819
209,Indiana,2021,43,0.6046511627906976,0.5348837209302325,0.0011098779134295228,0.8463254187468467,0.07165619730891575
210,Jefferson,2018,4,0.5,0.75,0.0,1.560351074350445,0.21155848242380654
211,Jefferson,2019,11,0.5454545454545454,0.6363636363636364,0.0,1.4106814708262159,0.16543805627978064
212,Jefferson,2020,11,0.36363636363636365,0.5454545454545454,0.0,1.321310797446732,0.14398152344893464
213,Jefferson,2021,8,0.5,0.625,0.0,0.9613410800818124,0.10101187842832418
214,Clarion,2018,2,0.0,0.0,0.014778325123152709,1.748575763271663,0.16860879138583817
215,Clarion,2019,5,0.4,0.4,0.009900990099009901,1.5627032034585537,0.13074675760586452
216,Clarion,2020,6,0.3333333333333333,0.3333333333333333,0.0,1.3410311216132755,0.11389796325657205
217,Clarion,2021,8,0.625,0.625,0.004975124378109453,0.9668518385650224,0.0819216848478827
218,Bedford,2018,9,0.8888888888888888,0.8888888888888888,0.0041459369817578775,1.3892006641864767,0.18708367488492336
219,Bedford,2019,6,0.3333333333333333,0.3333333333333333,0.003067484662576687,1.1687012632154192,0.14875927443932993
220,Bedford,2020,19,0.5263157894736842,0.42105263157894735,0.0021008403361344537,1.0627513294238813,0.12375965397439939
221,Bedford,2021,16,0.375,0.5,0.0005549389567147614,0.7897973342455388,0.0872753367582235
222,Greene,2018,4,0.5,0.25,0.0,2.209512154419536,0.194979418145408
223,Greene,2019,3,0.6666666666666666,0.6666666666666666,0.0,1.9783640206931081,0.15334622017021748
224,Greene,2020,2,1.0,0.5,0.0,1.675496467708739,0.12556095156338654
225,Greene,2021,4,0.0,0.25,0.0,1.2415311405128777,0.08499748682232854
226,Huntingdon,2018,14,0.5,0.7142857142857143,0.0033222591362126247,1.3380438628322597,0.1824090537966071
227,Huntingdon,2019,10,0.4,0.5,0.0033076074972436605,1.1529182164565002,0.1359947382745169
228,Huntingdon,2020,17,0.35294117647058826,0.6470588235294118,0.0012484394506866417,0.9725113399256101,0.10507918744602195
229,Huntingdon,2021,14,0.2857142857142857,0.5,0.0019011406844106464,0.7281374433275878,0.0713648386407058
230,Union,2018,3,0.6666666666666666,1.0,0.0,1.20442913708676,0.12412970642674727
231,Union,2019,4,0.5,0.5,0.0,1.0686631053630422,0.09398186546706964
232,Union,2020,5,0.4,0.4,0.00398406374501992,0.9847616035238163,0.08315550451880227
233,Union,2021,5,0.6,0.8,0.009900990099009901,0.7203106318642956,0.057719952405074854
234,Montour,2018,7,0.42857142857142855,0.8571428571428571,0.0,2.618424680194089,0.19267203352448167
235,Montour,2019,6,0.8333333333333334,0.8333333333333334,0.0,2.2872976400529335,0.1392578297309219
236,Montour,2020,12,0.6666666666666666,0.75,0.0,2.0877519850022055,0.11467019255453244
237,Montour,2021,10,0.8,0.8,,1.578431179201588,0.08256750785934054
238,Forest,2019,1,1.0,1.0,,2.324926143697118,0.28223863473397387
239,Warren,2019,3,0.6666666666666666,1.0,0.0,1.8902376448026539,0.21952859771425612
240,Warren,2020,4,0.5,0.25,0.0,1.5616718065669783,0.18934441811724154
241,Warren,2021,1,0.0,0.0,0.0,1.1297649151009408,0.13053514350791717
242,Clinton,2019,5,0.2,0.6,0.00980392156862745,1.7002739652870495,0.18783337783711615
243,Clinton,2020,5,0.2,0.8,1.0,1.7523081441922563,0.1691794832106809
244,Clinton,2021,5,0.8,0.6,0.038461538461538464,1.299257064245661,0.11812039024672898
245,Venango,2019,2,1.0,1.0,0.004975124378109453,1.6249617473342055,0.15926150552978952
246,Venango,2020,10,0.7,0.6,0.004975124378109453,1.5182635668133349,0.14084706478911485
247,Venango,2021,5,0.4,0.8,0.009900990099009901,1.0961234538787807,0.09618490427248583
248,Sullivan,2021,1,0.0,0.0,0.0,1.6403669793150684,0.3174611239743151
