County,Year,% Naloxone Admin,% OD Survival,Opioid Overdoses,3+ Prescribers and 3+ Dispensers,Average Daily MME > 50,Overlapping Opioid/Benzodiazepine Prescriptions,Total Drug Dispensation,Total Prescriptions,Incidents - Fentanyl,Incidents - Heroin,Incidents - Opium,Arrests - Fentanyl,Arrests - Heroin,Arrests - Opium,Drug Quantity - Fentanyl,Drug Quantity - Heroin,Drug Quantity - Opium,%Incidents Fentanyl,%Arrests Fentanyl,%Quantity Fentanyl,Drug Take-Back Sites,Drug Treatment Locations,County Population,County Percent Change Since 2010
Philadelphia,2022,0.04960835509138381,0.05221932114882506,383,540.0,23954.0,17519.0,245775.0,286009.0,64.0,43.0,0.0,57.0,40.0,0.0,25.19963,28.707576,0.0,59.813084112149525,58.76288659793815,46.74631068803677,36,121,1603797,0.051
Philadelphia,2019,0.9,0.95,40,2134.0,66023.0,55709.0,732187.0,764036.0,44.0,224.0,0.0,31.0,226.0,0.0,13.2901,21.225975,0.0,16.417910447761194,12.062256809338521,38.50408831247469,36,121,1603797,0.051
Philadelphia,2020,0.75,0.8571428571428571,28,1443.0,54856.0,45774.0,625075.0,648277.0,71.0,96.0,0.0,28.0,76.0,0.0,11.720488,50.924338999999996,0.0,42.51497005988024,26.923076923076923,18.709426717708073,36,121,1603797,0.051
Philadelphia,2021,0.1858974358974359,0.1794871794871795,156,1239.0,51424.0,40945.0,579921.0,614283.0,47.0,57.0,0.0,32.0,57.0,0.0,41.8661,1.11396,0.0,45.19230769230769,35.95505617977528,97.40819347390395,36,121,1603797,0.051
Washington,2018,0.6363636363636364,0.7424242424242424,66,394.0,11347.0,12238.0,135637.0,178873.0,1.0,33.0,0.0,0.0,34.0,0.0,0.0006,0.03145,0.0,2.941176470588235,0.0,1.8720748829953195,24,17,209349,0.007
Washington,2022,0.5510204081632653,0.673469387755102,49,107.0,3152.0,3517.0,49734.0,63271.0,1.0,39.0,0.0,4.0,42.0,0.0,1.1841,0.114125,0.0,2.5,8.695652173913043,91.20915095611315,24,17,209349,0.007
Washington,2019,0.5769230769230769,0.6666666666666666,78,300.0,9045.0,9977.0,123905.0,163675.0,3.0,77.0,0.0,3.0,76.0,0.0,0.060399999999999995,0.20281100000000002,0.0,3.75,3.79746835443038,22.94736922089122,24,17,209349,0.007
Washington,2020,0.5714285714285714,0.6753246753246753,77,204.0,7490.0,8521.0,120480.0,152381.0,4.0,66.0,0.0,6.0,79.0,0.0,0.1098,0.13385,0.0,5.714285714285714,7.0588235294117645,45.06464190437103,24,17,209349,0.007
Washington,2021,0.6,0.6285714285714286,70,240.0,6834.0,7776.0,116168.0,142310.0,9.0,71.0,0.0,3.0,85.0,0.0,1.1205,0.35951,0.0,11.25,3.4090909090909087,75.7089479125141,24,17,209349,0.007
Cumberland,2018,0.6716417910447762,0.746268656716418,67,327.0,10742.0,10557.0,137418.0,125047.0,2.0,19.0,0.0,2.0,13.0,0.0,0.012,0.8793309999999999,0.0,9.523809523809524,13.333333333333334,1.3463012057249217,26,12,259469,0.102
Cumberland,2022,0.8181818181818182,0.8181818181818182,77,88.0,2851.0,3244.0,52914.0,49472.0,8.0,18.0,0.0,4.0,13.0,0.0,0.0658,0.2112,0.0,30.76923076923077,23.52941176470588,23.754512635379058,26,12,259469,0.102
Cumberland,2019,0.7476635514018691,0.8037383177570093,107,247.0,8349.0,9000.0,123934.0,113038.0,1.0,21.0,0.0,3.0,14.0,0.0,0.0011,8.173290999999999,0.0,4.545454545454546,17.647058823529413,0.013456659951793353,26,12,259469,0.102
Cumberland,2020,0.7241379310344828,0.7931034482758621,116,155.0,6799.0,8066.0,111951.0,104239.0,8.0,24.0,0.0,4.0,17.0,0.0,0.03235,0.097714,0.0,25.0,19.047619047619047,24.872370525279862,26,12,259469,0.102
Cumberland,2021,0.6962025316455697,0.7721518987341772,79,163.0,5771.0,7557.0,109837.0,101814.0,9.0,27.0,0.0,6.0,16.0,0.0,0.00646,0.03521,0.0,25.0,27.27272727272727,15.502759779217662,26,12,259469,0.102
Northumberland,2018,0.8108108108108109,0.7837837837837838,37,121.0,4626.0,5394.0,62292.0,73438.0,0.0,29.0,1.0,0.0,19.0,0.0,0.0,0.090921,0.00072,0.0,0.0,0.0,13,6,91647,-0.03
Northumberland,2021,0.8787878787878788,0.8484848484848485,33,52.0,2709.0,3573.0,47839.0,54525.0,5.0,13.0,0.0,12.0,14.0,0.0,0.004509999999999999,0.26763,0.0,27.77777777777778,46.15384615384615,1.6572352465642683,13,6,91647,-0.03
Northumberland,2019,0.8235294117647058,0.7647058823529411,34,92.0,3587.0,4409.0,54667.0,64241.0,1.0,13.0,2.0,1.0,38.0,3.0,1.4e-05,0.69529,0.00101,6.25,2.380952380952381,0.002010587177623888,13,6,91647,-0.03
Northumberland,2020,0.7666666666666667,0.9,30,65.0,3172.0,4001.0,51415.0,59404.0,6.0,14.0,0.0,5.0,16.0,0.0,0.008277,0.226251,0.0,30.0,23.809523809523807,3.5292161277118295,13,6,91647,-0.03
Northumberland,2022,0.7692307692307693,0.7692307692307693,13,32.0,1233.0,1322.0,22873.0,25459.0,3.0,7.0,0.0,2.0,4.0,0.0,0.168,0.016300000000000002,0.0,30.0,33.33333333333333,91.15572436245252,13,6,91647,-0.03
Montgomery,2018,0.6417910447761194,0.753731343283582,134,1122.0,36538.0,37507.0,493342.0,409398.0,4.0,66.0,0.0,2.0,92.0,0.0,0.004119,0.230356,0.0,5.714285714285714,2.127659574468085,1.7566904787290754,55,41,856553,0.071
Montgomery,2022,0.6518987341772152,0.9050632911392406,158,259.0,10839.0,11653.0,163264.0,157488.0,36.0,55.0,0.0,47.0,72.0,0.0,27.460729999999998,0.24919000000000002,0.0,39.56043956043956,39.49579831932773,99.1007191648334,55,41,856553,0.071
Montgomery,2019,0.5855855855855856,0.6216216216216216,111,890.0,28822.0,32283.0,442548.0,369057.0,5.0,86.0,0.0,8.0,97.0,0.0,0.10225999999999999,0.36293600000000004,0.0,5.4945054945054945,7.6190476190476195,21.982132262530197,55,41,856553,0.071
Montgomery,2020,0.5769230769230769,0.6794871794871795,78,550.0,23814.0,28711.0,385034.0,334170.0,12.0,91.0,1.0,15.0,102.0,3.0,1.526993,0.814644,0.00024,11.538461538461538,12.5,65.20380873974166,55,41,856553,0.071
Montgomery,2021,0.48717948717948717,0.8589743589743589,156,501.0,22408.0,27533.0,371733.0,328139.0,42.0,96.0,0.0,54.0,118.0,0.0,0.279503,0.496791,0.0,30.434782608695656,31.3953488372093,36.00478684622063,55,41,856553,0.071
Pike,2018,0.52,0.64,25,32.0,3044.0,3012.0,19930.0,32134.0,1.0,43.0,0.0,1.0,48.0,0.0,1e-05,0.148268,0.0,2.272727272727273,2.0408163265306123,0.0067440888061613994,4,3,58535,0.02
Pike,2019,0.5,0.75,24,30.0,2263.0,2164.0,15685.0,26512.0,0.0,24.0,0.0,0.0,23.0,0.0,0.0,0.14334000000000002,0.0,0.0,0.0,0.0,4,3,58535,0.02
Pike,2020,0.5151515151515151,0.696969696969697,33,6.0,1769.0,1731.0,13745.0,23515.0,10.0,18.0,0.0,8.0,20.0,0.0,0.004012,0.10214999999999999,0.0,35.714285714285715,28.57142857142857,3.779130008854393,4,3,58535,0.02
Pike,2021,0.6521739130434783,0.6521739130434783,23,,1756.0,1799.0,13965.0,23776.0,6.0,24.0,0.0,6.0,23.0,0.0,0.041167,0.045071,0.0,20.0,20.689655172413794,47.73649667200074,4,3,58535,0.02
Pike,2022,0.6,0.7,10,,810.0,766.0,6733.0,11243.0,2.0,21.0,0.0,3.0,23.0,0.0,5.55,0.103214,0.0,8.695652173913043,11.538461538461538,98.1742421213844,4,3,58535,0.02
Armstrong,2018,0.5555555555555556,0.5555555555555556,18,100.0,3474.0,4348.0,48946.0,50506.0,1.0,12.0,1.0,2.0,17.0,0.0,0.0015,0.029019999999999997,0.0002,7.142857142857142,10.526315789473683,4.882812500000001,9,5,65558,-0.049
Armstrong,2022,0.5909090909090909,0.6818181818181818,22,15.0,864.0,1169.0,11370.0,17051.0,14.0,39.0,0.0,16.0,52.0,0.0,0.03118,0.07921399999999999,0.0,26.41509433962264,23.52941176470588,28.244288638875304,9,5,65558,-0.049
Armstrong,2019,0.64,0.84,25,83.0,2533.0,3336.0,44777.0,42904.0,3.0,38.0,0.0,3.0,50.0,0.0,0.009899999999999999,0.07683,0.0,7.317073170731707,5.660377358490567,11.414735385679695,9,5,65558,-0.049
Armstrong,2020,0.7894736842105263,0.868421052631579,38,37.0,1948.0,2875.0,28721.0,37501.0,7.0,68.0,0.0,12.0,85.0,0.0,0.0211,1.001463,0.0,9.333333333333334,12.371134020618557,2.0634425458382517,9,5,65558,-0.049
