,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
175,Clarion County,16,42,031,2018,2018,17400,16600,800,4.7,41.19279129,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.19279129]}",7,5,1081,24,46
176,Lawrence County,37,42,073,2016,2017,41500,38700,2800,6.7,40.99325035,-80.33754114,"{'type': 'Point', 'coordinates': [-80.33754114, 40.99325035]}",27,2,622,22,231
177,Jefferson County,33,42,065,2018,2018,20500,19600,1000,4.6,41.13139091,-79.00101814,"{'type': 'Point', 'coordinates': [-79.00101814, 41.13139091]}",20,14,1361,16,107
178,Cambria County,11,42,021,2018,2018,58300,55300,3000,5.2,40.49127491,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.49127491]}",2,16,1228,20,23
179,Huntingdon County,31,42,061,2016,2017,19700,18300,1400,7,40.416105,-77.9827661,"{'type': 'Point', 'coordinates': [-77.9827661, 40.416105]}",38,17,1344,32,290
180,Philadelphia County,51,42,101,2016,2017,703600,656000,47600,6.8,40.00444354,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.00444354]}",13,46,1069,182,365
181,Schuylkill County,54,42,107,2018,2018,66100,62700,3400,5.2,40.70751243,-76.22332385,"{'type': 'Point', 'coordinates': [-76.22332385, 40.70751243]}",64,27,1343,127,304
182,Northampton County,48,42,095,2018,2018,158900,151900,7000,4.4,40.7545954,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.7545954]}",59,38,1339,113,280
183,Crawford County,20,42,039,2016,2017,40500,38100,2400,6,41.68546907,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.68546907]}",16,3,1995,47,344
184,Luzerne County,40,42,079,2017,2017,158300,148900,9400,5.9,41.17836439,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.17836439]}",14,30,406,92,52
185,Bedford County,05,42,009,2016,2017,24100,22600,1400,5.9,40.00737536,-78.49116474,"{'type': 'Point', 'coordinates': [-78.49116474, 40.00737536]}",43,16,1549,31,3
186,Susquehanna County,58,42,115,2017,2017,20700,19700,1000,4.7,41.8205686,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.8205686]}",44,21,2466,89,321
187,Adams County,01,42,001,2018,2018,55100,53300,1800,3.3,39.87209565,-77.22224271,"{'type': 'Point', 'coordinates': [-77.22224271, 39.87209565]}",39,19,1949,35,92
188,Cameron County,12,42,023,2017,2017,2200,2000,200,6.9,41.43880265,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.43880265]}",3,14,1009,14,105
189,Tioga County,59,42,117,2018,2018,18800,17800,1000,5.2,41.77333834,-77.25788076,"{'type': 'Point', 'coordinates': [-77.25788076, 41.77333834]}",48,14,97,77,477
190,Forest County,27,42,053,2017,2017,1800,1700,100,6.7,41.51357876,-79.23780995,"{'type': 'Point', 'coordinates': [-79.23780995, 41.51357876]}",32,5,207,60,186
191,Washington County,63,42,125,2017,2017,106500,100900,5600,5.2,40.19109663,-80.25180083,"{'type': 'Point', 'coordinates': [-80.25180083, 40.19109663]}",52,12,1132,4,351
192,Northampton County,48,42,095,2016,2017,158900,150700,8200,5.2,40.7545954,-75.31263726,"{'type': 'Point', 'coordinates': [-75.31263726, 40.7545954]}",59,38,1339,113,280
193,Clarion County,16,42,031,2016,2017,18000,16900,1100,6.2,41.19279129,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.19279129]}",7,5,1081,24,46
194,Franklin County,28,42,055,2018,2018,77100,74200,2800,3.7,39.92786197,-77.72398845,"{'type': 'Point', 'coordinates': [-77.72398845, 39.92786197]}",33,19,380,33,19
195,Wayne County,64,42,127,2018,2018,22400,21300,1100,4.7,41.64969805,-75.3051535,"{'type': 'Point', 'coordinates': [-75.3051535, 41.64969805]}",53,29,1928,89,433
196,Adams County,01,42,001,2017,2017,55500,53400,2000,3.7,39.87209565,-77.22224271,"{'type': 'Point', 'coordinates': [-77.22224271, 39.87209565]}",39,19,1949,35,92
197,Warren County,62,42,123,2016,2017,19800,18700,1100,5.5,41.81675237,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.81675237]}",51,5,1741,60,234
198,Mercer County,43,42,085,2018,2018,50100,47700,2400,4.7,41.30237777,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.30237777]}",54,3,1048,48,300
199,Delaware County,23,42,045,2017,2017,294800,281400,13300,4.5,39.91657867,-75.40627712,"{'type': 'Point', 'coordinates': [-75.40627712, 39.91657867]}",28,35,782,63,380
200,Mifflin County,44,42,087,2017,2017,20600,19500,1100,5.3,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",55,18,587,36,295
201,Schuylkill County,54,42,107,2017,2017,66300,62400,3900,5.9,40.70751243,-76.22332385,"{'type': 'Point', 'coordinates': [-76.22332385, 40.70751243]}",64,27,1343,127,304
202,Clarion County,16,42,031,2017,2017,17700,16700,1000,5.6,41.19279129,-79.42483608,"{'type': 'Point', 'coordinates': [-79.42483608, 41.19279129]}",7,5,1081,24,46
203,Jefferson County,33,42,065,2017,2017,20600,19400,1200,5.6,41.13139091,-79.00101814,"{'type': 'Point', 'coordinates': [-79.00101814, 41.13139091]}",20,14,1361,16,107
