,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
475,0,12,03300,0,0,0,0,0
476,0,12,03400,0,0,0,0,0
477,0,12,03501,0,0,0,0,0
478,0,12,03502,0,0,0,0,0
479,0,12,03503,0,0,0,0,0
480,0,12,03504,0,0,0,0,0
481,0,12,03505,0,0,0,0,0
482,0,12,03506,0,0,0,0,0
483,0,12,03507,0,0,0,0,0
484,0,12,03508,0,0,0,0,0
485,0,12,03509,0,0,0,0,0
486,0,12,03601,0,0,0,0,0
487,0,12,03602,0,0,0,0,0
488,0,12,03603,0,0,0,0,0
489,0,12,03604,0,0,0,0,0
490,0,12,03605,0,0,0,0,0
491,0,12,03606,0,0,0,0,0
492,0,12,03607,0,0,0,0,0
493,0,12,03608,0,0,0,0,0
494,0,12,03609,0,0,0,0,0
495,0,12,03610,0,0,0,0,0
496,0,12,03611,0,0,0,0,0
497,0,12,03612,0,0,0,0,0
498,0,12,03613,0,0,0,0,0
499,0,12,03701,0,0,0,0,0
500,0,12,03702,0,0,0,0,0
501,0,12,03800,0,0,0,0,0
502,0,12,03901,0,0,0,0,0
503,0,12,03902,0,0,0,0,0
504,0,12,03903,0,0,0,0,0
505,0,12,04001,0,0,0,0,0
506,0,12,04002,0,0,0,0,0
507,0,12,04003,0,0,0,0,0
508,0,12,04004,0,0,0,0,0
509,0,12,04005,0,0,0,0,0
510,0,12,04006,0,0,0,0,0
511,0,12,04007,0,0,0,0,0
512,0,12,04008,0,0,0,0,0
513,0,12,04009,0,0,0,0,0
514,0,12,04010,0,0,0,0,0
515,0,12,04011,0,0,0,0,0
516,0,12,04012,0,0,0,0,0
517,0,12,04013,0,0,0,0,0
518,0,12,04014,0,0,0,0,0
519,0,12,04015,0,0,0,0,0
520,0,12,04016,0,0,0,0,0
521,0,12,04017,0,0,0,0,0
522,0,12,04018,0,0,0,0,0
523,0,12,04019,0,0,0,0,0
524,0,12,04020,0,0,0,0,0
525,152919,13,00100,74747,78172,576,395,711
526,119735,13,00200,60052,59683,252,241,646
527,153924,13,00300,75547,78377,1119,292,830
528,0,13,00400,0,0,0,0,0
529,170469,13,00500,86258,84211,915,477,912
530,116296,13,00600,56648,59648,582,126,784
531,126574,13,00700,61831,64743,1000,400,655
532,110511,13,00800,53603,56908,652,418,488
533,118398,13,00900,55727,62671,765,385,608
534,0,13,01000,0,0,0,0,0
535,0,13,01101,0,0,0,0,0
536,0,13,01102,0,0,0,0,0
537,0,13,01103,0,0,0,0,0
538,0,13,01104,0,0,0,0,0
539,0,13,01105,0,0,0,0,0
540,0,13,01106,0,0,0,0,0
541,0,13,01107,0,0,0,0,0
542,0,13,01201,0,0,0,0,0
543,0,13,01202,0,0,0,0,0
544,0,13,01203,0,0,0,0,0
545,0,13,01204,0,0,0,0,0
546,0,13,01205,0,0,0,0,0
547,0,13,01206,0,0,0,0,0
548,0,13,01301,0,0,0,0,0
549,0,13,01302,0,0,0,0,0
550,0,13,01303,0,0,0,0,0
551,0,13,01304,0,0,0,0,0
552,0,13,01305,0,0,0,0,0
553,0,13,01401,0,0,0,0,0
554,0,13,01402,0,0,0,0,0
555,0,13,01501,0,0,0,0,0
556,0,13,01502,0,0,0,0,0
557,0,13,01503,0,0,0,0,0
558,0,13,01504,0,0,0,0,0
559,0,13,01505,0,0,0,0,0
560,180185,13,01600,89515,90670,701,455,823
